city,total_people
Lake Creek,214
Lake Dallas,"4,348"
Lake Jackson,"18,760"
Lake Kiowa,"1,805"
Lake Worth,175
Lakehills,"2,631"
Lakeside,889
Lakeview,92
Lakeway,"14,260"
Lakewood Village,455
Lamesa,"6,536"
Lampasas,"8,099"
Lancaster,"25,110"
Lane City,115
Laneville,745
Langtry,17
Lantana,"5,108"
Laredo,"124,595"
Larue,"2,092"
Las Rusias,1
Lasara,811
Latexo,138
Laughlin,1
Laughlin Afb,835
Laureles,1
Lavernia,927
Lavon,"3,044"
Lawn,367
Lazbuddie,63
Leaday,5
League City,"64,008"
Leakey,"1,404"
Leander,"40,815"
Ledbetter,697
Leesburg,845
Leesville,270
Lefors,393
Leggett,219
Lelia Lake,91
Leming,436
Lenorah,215
Leon Valley,71
Leona,398
Leonard,"2,992"
Leroy,105
Levelland,"9,443"
Lewisville,"60,111"
Lexington,"3,119"
Liberty,"8,785"
Liberty Hill,"9,935"
Lillian,148
Lincoln,656
Lindale,"11,252"
Linden,"2,833"
Lindsay,750
Linn,193
Lipan,"2,456"
Lipscomb,64
Lissie,129
Little Elm,"28,885"
Little River Academy,"1,225"
Littlefield,"4,214"
Live Oak,"7,375"
Liverpool,813
Livingston,"28,387"
Llano,"4,144"
Lockhart,"11,172"
Lockney,"1,416"
Lodi,37
Lohn,165
Lolita,535
Lometa,"1,109"
London,246
Lone Oak,"2,318"
Lone Star,"1,236"
Long Branch,457
Longview,"59,222"
Loop,153
Lopeno,108
Loraine,615
Lorena,"6,171"
Lorenzo,881
Los Angeles,24
Los Ebanos,171
Los Fresnos,"9,234"
Los Indios,269
Lott,"1,583"
Louise,"1,214"
Lovelady,"1,713"
Loving,310
Lowake,14
Lozano,134
Ltl Rvr Acad,2
Lubbock,"155,134"
Lucas,"6,439"
Lueders,300
Lufkin,"36,394"
Luling,"4,712"
Lumberton,"14,605"
Lyford,"2,129"
Lyons,3
Lytle,"4,116"
Mabank,"9,009"
Macdona,103
Madisonville,"4,293"
Magnolia,"40,398"
Magnolia Springs,23
Malakoff,"3,657"
Malone,309
Manchaca,"3,458"
Manor,"12,395"
Mansfield,"44,209"
Manvel,"12,783"
Maple,14
Marathon,372
Marble Falls,"7,442"
Marfa,"1,894"
Marietta,554
Marion,"4,186"
Markham,937
Marlin,"4,036"
Marquez,"1,392"
Marshall,"21,909"
Mart,"1,902"
Martindale,"1,696"
Maryneal,145
Mason,"2,655"
Masterson,16
Matador,537
Matagorda,449
Mathis,"5,732"
Maud,"2,366"
Mauriceville,10
Maxwell,"1,262"
May,"1,227"
Maydelle,38
Maypearl,"1,252"
Maysfield,1
Mc Caulley,143
Mc Gregor,"6,441"
Mc Leod,179
McAdoo,54
McAllen,"68,733"
McCamey,"1,403"
McColl,20
McCoy,304
McDade,917
McDonald Obs,51
McDonald Observatory,1
McFaddin,21
McGregor,25
McKinney,"110,061"
McLean,731
McQueeney,"1,528"
Meadow,549
Meadowlakes,"1,616"
Meadows Place,"3,284"
Medina,"1,278"
Megargel,200
Melissa,"6,893"
Melvin,184
Memphis,"1,378"
Menard,"1,270"
Mentone,117
Mercedes,"12,970"
Mereta,109
Meridian,"1,571"
Merit,92
Merkel,"3,166"
Mertens,161
Mertzon,"1,134"
Mesquite,"72,863"
Mexia,"5,911"
Meyersville,350
Miami,708
Mico,"1,604"
Midfield,188
Midkiff,91
Midland,"80,590"
Midlothian,"25,058"
Midway,"1,271"
Milam,661
Milano,971
Miles,"1,290"
Milford,897
Millersview,163
Millett,48
Millican,102
Millsap,"2,391"
Minden,41
Mineola,"8,419"
Mineral,178
Mineral Wells,"11,885"
Mingus,331
Mirando City,308
Mission,"55,409"
Missouri City,"72,748"
Mobeetie,268
Monahans,"5,401"
Mont Belvieu,"4,058"
Montague,554
Montalba,706
Monte Alto,"1,552"
Montgomery,"39,712"
Moody,"3,283"
Moore,678
Moran,360
Morgan,"1,248"
Morse,130
Morton,"1,280"
Moscow,611
Moulton,"1,141"
Mount Calm,732
Mount Enterprise,2
Mount Pleasant,56
Mount Vernon,6
Mountain City,510
Mountain Home,"1,000"
Mt Enterprise,"1,917"
Mt Pleasant,"14,303"
Mt Vernon,"3,809"
Mt. Home,3
Muenster,"2,091"
Muldoon,413
Muleshoe,"3,529"
Mullin,581
Mumford,19
Munday,969
Murchison,"2,250"
Murphy,"12,662"
Myra,140
N Richlnd Hls,176
Nacogdoches,"31,057"
Nada,138
Naples,"1,881"
Nash,"1,715"
Natalia,"3,256"
Navasota,"7,570"
Nazareth,528
Neches,75
Nederland,"14,615"
Needville,"6,687"
Nemo,447
Nevada,"2,950"
New Baden,3
New Boston,"5,994"
New Braunfels,"70,929"
New Caney,"12,148"
New Deal,110
New Home,224
New London,470
New Summerfield,125
New Ulm,"1,659"
New Waverly,"3,399"
Newark,"2,406"
Newcastle,553
Newton,"3,000"
Niederwald,648
Nixon,"1,765"
Nocona,"3,381"
Nolan,70
Nolanville,"3,224"
Nome,587
Nordheim,427
Normangee,"1,842"
Normanna,200
North Richland Hills,"42,854"
North Zulch,"1,380"
Northfield,12
Northlake,"2,382"
Norton,104
Notrees,9
Novice,175
Nueces,36
Nursery,134
O Brien,102
Oak Leaf,"1,104"
Oak Point,"2,549"
Oakalla,53
Oakhurst,521
Oakland,29
Oakville,49
Oakwood,"1,784"
Odell,50
Odem,"3,118"
Odessa,"75,385"
Odonnell,753
Oglesby,605
Oilton,233
Oklaunion,113
Old Glory,83
Old Ocean,49
Old River Winfree,"2,890"
Old Rvr Wnfre,4
Olden,135
Olmito,"1,044"
Olney,"2,350"
Olton,"1,408"
Omaha,"1,985"
Onalaska,"3,617"
Orange,"30,358"
Orange Grove,"3,483"
Orchard,362
Ore City,"2,397"
Orla,19
Otto,5
Ovalo,672
Overton,"3,536"
Ovilla,"3,024"
Oyster Creek,729
Ozona,"2,403"
Paducah,958
Paige,"2,103"
Paint Rock,414
Palacios,"4,059"
Palestine,"19,400"
Palmer,"3,109"
Palmhurst,"1,952"
Palmview,"7,361"
Palo Pinto,708
Paluxy,17
Pampa,"10,743"
Pandora,32
Panhandle,"2,172"
Panna Maria,16
Panola,26
Pantego,"1,890"
Papalote,41
Paradise,"4,255"
Paris,"18,493"
Parker,"3,339"
Pasadena,"60,970"
Pattison,"1,274"
Pattonville,709
Pawnee,276
Peacock,2
Pear Valley,4
Pearland,"81,491"
Pearsall,"5,155"
Pecan Gap,277
Pecos,"6,363"
Pendleton,33
Penelope,199
Penitas,"3,851"
Pennington,188
Penwell,14
Pep,10
Perrin,873
Perry,6
Perryton,"4,847"
Petersburg,882
Petrolia,481
Pettus,471
Petty,150
Pflugerville,"55,958"
Pharr,"32,089"
Pickton,872
Pierce,26
Pilot Point,"4,323"
Pinehurst,"3,353"
Pineland,"1,217"
Pipe Creek,"4,295"
Pittsburg,"7,805"
Placedo,425
Plains,"1,084"
Plainview,"13,846"
Plano,"150,020"
Plantersville,"2,199"
Pleasanton,"9,186"
Pledger,195
Plum Grove,18
Point,"1,887"
Point Comfort,381
Point Venture,7
Pointblank,"1,871"
Pollok,"2,489"
Ponder,"3,405"
Pontotoc,102
Poolville,"1,966"
Port Aransas,"3,062"
Port Arthur,"28,014"
Port Bolivar,538
Port Isabel,"2,817"
Port Lavaca,"9,803"
Port Mansfield,370
Port Neches,"8,946"
Port O Connor,885
Porter,"18,483"
Portland,"10,491"
Post,"2,372"
Poteet,"6,245"
Poth,"1,278"
Pottsboro,"5,599"
Pottsville,76
Powderly,"2,573"
Powell,369
Poynor,151
Prairie Hill,100
Prairie Lea,178
Prairie View,"4,639"
Prayer Town,28
Premont,"2,226"
Presidio,"2,567"
Price,32
Priddy,161
Primera,6
Princeton,"10,409"
Proctor,101
Progreso,"1,824"
Progreso Lakes,180
Prosper,"16,658"
Providence Village,"4,060"
Providnce Vlg,10
Purdon,947
Purmela,241
Putnam,63
Pyote,113
Quail,36
Quanah,"1,898"
Queen City,"2,472"
Quemado,535
Quinlan,"7,598"
Quintana,38
Quitaque,347
Quitman,"5,052"
Rainbow,449
Ralls,"1,270"
Rancho Viejo,"1,644"
Randolph,75
Randolph Afb,162
Ranger,"2,069"
Rankin,633
Ransom Canyon,919
Ratcliff,95
Ravenna,959
Raymondville,"6,739"
Raywood,227
Reagan,127
Realitos,318
Red Oak,"13,864"
Red Rock,"1,625"
Redford,43
Redwater,661
Refugio,"2,323"
Reklaw,385
Reno,"2,318"
Rhome,"4,826"
Rice,"1,291"
Richards,"1,018"
